Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
143,NJ5R,444.700000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
144,W2NJR,445.025000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
145,N2PSU,445.925000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
146,W2FCC,446.375000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
147,W2LI,449.975000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
148,KB2EAR,444.912500,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
149,KB2EA,447.725000,-,5.000000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
150,N3KZ,442.850000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
151,K2EPD,448.925000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
152,W2NJR,440.050000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
153,W2CTL,446.625000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
154,N2YLD,449.825000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
155,N2SMI,441.750000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
156,K2ZV,447.675000,-,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
157,WB2CMN,442.400000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
158,W2MCC,440.400000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
159,NJ2DG,441.400000,+,5.000000,DTCS,88.5,88.5,054,NN,FM,5.00,,,,,,
160,KD2ARB,442.800000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
161,W2LPC,445.275000,-,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
200,FRS1,462.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
201,FRS2,462.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
202,FRS3,462.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
203,FRS4,462.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
